,	GeoArea_FIPS	GeoArea_Name	Date	Published_Value
409	37049	Craven, NC	01-01-20	5552533.02
410	37049	Craven, NC	02-01-19	4614732.4
411	37049	Craven, NC	02-01-20	4684298.67
412	37049	Craven, NC	03-01-19	4538126.71
413	37049	Craven, NC	04-01-19	5625888.24
414	37049	Craven, NC	05-01-19	5289448.18
415	37049	Craven, NC	06-01-19	5536129.2
416	37049	Craven, NC	07-01-19	5393554.63
417	37049	Craven, NC	08-01-19	4920165.55
418	37049	Craven, NC	09-01-19	4983579.04
419	37049	Craven, NC	10-01-18	4314586.32
420	37049	Craven, NC	10-01-19	5044207.78
421	37049	Craven, NC	11-01-18	5481627.68
422	37049	Craven, NC	11-01-19	5003205.17
423	37049	Craven, NC	12-01-18	5305470.94
424	37049	Craven, NC	12-01-19	5016480.87
425	37051	Cumberland, NC	01-01-19	19807269.25
426	37051	Cumberland, NC	01-01-20	19892685.53
427	37051	Cumberland, NC	02-01-19	14929998.98
428	37051	Cumberland, NC	02-01-20	15464728.92
429	37051	Cumberland, NC	03-01-19	16239375.29
430	37051	Cumberland, NC	04-01-19	18991088.11
431	37051	Cumberland, NC	05-01-19	17558596.01
432	37051	Cumberland, NC	06-01-19	17978380.69
433	37051	Cumberland, NC	07-01-19	18299728.73
434	37051	Cumberland, NC	08-01-19	17024637.7
435	37051	Cumberland, NC	09-01-19	17140510.88
436	37051	Cumberland, NC	10-01-18	15512335.48
437	37051	Cumberland, NC	10-01-19	17232914.35
438	37051	Cumberland, NC	11-01-18	17068124.29
439	37051	Cumberland, NC	11-01-19	17163766.59
440	37051	Cumberland, NC	12-01-18	17710265.53
441	37051	Cumberland, NC	12-01-19	17327520.28
442	37053	Currituck, NC	01-01-19	1025979.72
443	37053	Currituck, NC	01-01-20	1288247.01
444	37053	Currituck, NC	02-01-19	954419.21
445	37053	Currituck, NC	02-01-20	1189407.34
446	37053	Currituck, NC	03-01-19	923985.48
447	37053	Currituck, NC	04-01-19	1209963.7
448	37053	Currituck, NC	05-01-19	1490774.35
449	37053	Currituck, NC	06-01-19	2040075.75
450	37053	Currituck, NC	07-01-19	4205356.79
451	37053	Currituck, NC	08-01-19	4813200.41
452	37053	Currituck, NC	09-01-19	4864741.84
453	37053	Currituck, NC	10-01-18	2345950.47
454	37053	Currituck, NC	10-01-19	2263067.96
455	37053	Currituck, NC	11-01-18	1375915.92
456	37053	Currituck, NC	11-01-19	1503910.35
457	37053	Currituck, NC	12-01-18	1087210.05
458	37053	Currituck, NC	12-01-19	1162204.14
459	37055	Dare, NC	01-01-19	3518081.25
460	37055	Dare, NC	01-01-20	3809145.64
461	37055	Dare, NC	02-01-19	3026988.62
462	37055	Dare, NC	02-01-20	3323369.85
463	37055	Dare, NC	03-01-19	2831112.35
464	37055	Dare, NC	04-01-19	4266896.8
465	37055	Dare, NC	05-01-19	5501100.14
466	37055	Dare, NC	06-01-19	7096776.84
467	37055	Dare, NC	07-01-19	11321287.76
468	37055	Dare, NC	08-01-19	13178540.98
469	37055	Dare, NC	09-01-19	11799596.11
470	37055	Dare, NC	10-01-18	6542086.83
471	37055	Dare, NC	10-01-19	6834818.06
472	37055	Dare, NC	11-01-18	4932146.27
473	37055	Dare, NC	11-01-19	5191614.39
474	37055	Dare, NC	12-01-18	3719123.38
475	37055	Dare, NC	12-01-19	3874538.86
476	37057	Davidson, NC	01-01-19	6386164.01
477	37057	Davidson, NC	01-01-20	6847980.92
478	37057	Davidson, NC	02-01-19	5072431.05
479	37057	Davidson, NC	02-01-20	5765031.66
480	37057	Davidson, NC	03-01-19	5488634.88
481	37057	Davidson, NC	04-01-19	6625263.88
482	37057	Davidson, NC	05-01-19	6019738.07
483	37057	Davidson, NC	06-01-19	6104562.62
484	37057	Davidson, NC	07-01-19	6152100.31
485	37057	Davidson, NC	08-01-19	6218852.49
486	37057	Davidson, NC	09-01-19	6149345.54
487	37057	Davidson, NC	10-01-18	5284464.59
488	37057	Davidson, NC	10-01-19	5988995.74
489	37057	Davidson, NC	11-01-18	5318227.41
490	37057	Davidson, NC	11-01-19	5834531.53
491	37057	Davidson, NC	12-01-18	5701357.1
492	37057	Davidson, NC	12-01-19	5873484.32
493	37059	Davie, NC	01-01-19	1609323.69
494	37059	Davie, NC	01-01-20	1865235.66
495	37059	Davie, NC	02-01-19	1349129.88
496	37059	Davie, NC	02-01-20	1426102.46
497	37059	Davie, NC	03-01-19	1278895.19
498	37059	Davie, NC	04-01-19	1644841.58
499	37059	Davie, NC	05-01-19	1526819.33
500	37059	Davie, NC	06-01-19	1581203.66
501	37059	Davie, NC	07-01-19	1626925.24
502	37059	Davie, NC	08-01-19	1535924.99
503	37059	Davie, NC	09-01-19	1524086.87
504	37059	Davie, NC	10-01-18	1380761.01
505	37059	Davie, NC	10-01-19	1648986.36
506	37059	Davie, NC	11-01-18	1497667.93
507	37059	Davie, NC	11-01-19	1635003.28
508	37059	Davie, NC	12-01-18	1537942.59
509	37059	Davie, NC	12-01-19	1615433.2
