	GeoArea_FIPS	GeoArea_Key	GeoArea_Name	PZ_Name	WDB_Name	Economic_Measure_Name	Data_Period_Business_Key	GDP
16251	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Retail trade	2009	20618.0
16252	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Transportation and warehousing	2009	2758.0
16253	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Information	2009	9027.0
16254	37093	FIPS_37093	Hoke County	South Central	Lumber River	   Real estate and rental and leasing	2009	105804.0
16255	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Professional and business services	2009	21067.0
16256	37093	FIPS_37093	Hoke County	South Central	Lumber River	   Management of companies and enterprises	2009	
16257	37093	FIPS_37093	Hoke County	South Central	Lumber River	   Administrative and support and waste management and remediation services	2009	9551.0
16258	37093	FIPS_37093	Hoke County	South Central	Lumber River	   Educational services	2009	6415.0
16259	37093	FIPS_37093	Hoke County	South Central	Lumber River	   Health care and social assistance	2009	35484.0
16260	37093	FIPS_37093	Hoke County	South Central	Lumber River	   Arts, entertainment, and recreation	2009	408.0
16261	37093	FIPS_37093	Hoke County	South Central	Lumber River	   Accommodation and food services	2009	6271.0
16262	37093	FIPS_37093	Hoke County	South Central	Lumber River	  Other services (except government and government enterprises)	2009	22440.0
16263	37093	FIPS_37093	Hoke County	South Central	Lumber River	Government and government enterprises	2009	148294.0
16264	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Agriculture, forestry, fishing and hunting	2009	4194.0
16265	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Mining, quarrying, and oil and gas extraction	2009	0.0
16266	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Utilities	2009	1038.0
16267	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Construction	2009	6827.0
16268	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Manufacturing	2009	5354.0
16269	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Wholesale trade	2009	7878.0
16270	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Retail trade	2009	6277.0
16271	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Transportation and warehousing	2009	
16272	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Information	2009	
16273	37095	FIPS_37095	Hyde County	Northeast	Northeastern	   Real estate and rental and leasing	2009	30867.0
16274	37095	FIPS_37095	Hyde County	Northeast	Northeastern	  Professional and business services	2009	6611.0
16275	37095	FIPS_37095	Hyde County	Northeast	Northeastern	   Management of companies and enterprises	2009	
16276	37095	FIPS_37095	Hyde County	Northeast	Northeastern	   Administrative and support and waste management and remediation services	2009	
16277	37095	FIPS_37095	Hyde County	Northeast	Northeastern	   Educational services	2009	
16278	37095	FIPS_37095	Hyde County	Northeast	Northeastern	   Health care and social assistance	2009	
16279	37095	FIPS_37095	Hyde County	Northeast	Northeastern	   Arts, entertainment, and recreation	2009	727.0
16280	37095	FIPS_37095	Hyde County	Northeast	Northeastern	   Accommodation and food services	2009	10050.0
